Image_Name,Caption
image_1.jpg,F/21/5’2 “[210lbs>113= 97lbs] (16 months )
image_2.jpg,F/25/5’7” [267lbs > 159lbs = 108lbs] (2018-2024)
image_3.jpg,M/31/5'10 [278lbs > 198lbs = 80 pounds lost] 7 months.
image_4.jpg,F/28/5’4”[208lbs>153lbs=55lbs] (8 months)
image_5.jpg,F/38/5’5” [303 > 138 = 165] (3 years) I’ve been having some body issues lately…
image_6.jpg,"F/32/5'8[438>307=131] 2 years. Calorie counting, exercise, no surgery. First year dropped 90 lbs second year dropped 40 and started recomping"
image_7.jpg,F/28/5’4”[208lbs>153lbs =55lbs](8 months)
image_8.jpg,"F/20/5'0"" [136lbs > 125lbs = 11 pounds lost] Slow cutting after the Bulk! Girls power"
image_9.jpg,F/32/179 cm [102 kg > 72 = 30 kg] (1 year)
image_10.jpg,"F/33/5’4”[205>155=50] 6 months. 1200 calories a day, no alcohol, no exercise."
image_11.jpg,"F/22/5’6 [250lbs > 140lbs = 110lbs lost] been maintaining for about a year now, took me about a year to lose the weight but here we are! i’m still so proud of myself 🥺😭"
image_12.jpg,F/35/5’5 [331>180=151lbs](2yrs)
image_13.jpg,"F/25/5'3"" [155lbs > 117lbs = 38lbs] march 2023 to now, 6 months heavy exercise 6 months none, gradual diet change to healthier eating, about to jump back into working out"
image_14.jpg,"F/28/5’9”[180lbs>174lbs =6lbs] Two months in, just trying to get sexier for the summer! (repost bec account got deleted)"
image_15.jpg,"F/33/5’9” [235lbs > 215lbs = 20lbs ] (1 year). So I was struggling to see any difference in my weight loss until I put these two pictures together. Crazy how a small difference can drastically change how someone looks. It’s been slow going due to some meds, but a loss is a loss."
image_16.jpg,F/24/5’7” [200lbs >160lbs =40lbs lost] taking things day by day. These photos are about 2 years apart
image_17.jpg,F/22/5’8” [245lbs > 133lbs] weight loss progress!
image_18.jpg,"F/28/5'5"" [320lbs > 175lbs = 145lbs] pic 5ish years apart. Been working on body comp the last year or so. Who tf am I?"
image_19.jpg,"F/38/5’11 [311 - 272 - 235 = -76] 2 years, same bathing suit. Halfway there!"
image_20.jpg,"M/29/5'10"" [285>155 = 130lbs] I made some significant face gains!"
image_21.jpg,"M/36/6'5""[300lbs>242lbs=58lbs] weight loss"
image_22.jpg,F/30/5’6” [217 - 163 = 54] 1 yr
image_23.jpg,"M/21/6’2"" [160lbs > 250lbs = +90lbs] (4 years)"
image_24.jpg,"F/30/5'1"" [168Ibs > 144Ibs = 24Ibs] weight loss progress"
image_25.jpg,F/31/5’7” [205 ish > 150 = 55 pounds lost] Pictures taken over three years apart
image_26.jpg,M/27/5’11” [202lbs > 181lbs = 21lbs] Weight Loss in 35 days
image_27.jpg,M/23/5’7’’ [156lbs > 160lbs = 4lbs] 4 months gym progress
image_28.jpg,M/24/5'6 [225 > 150 > 165 > 180 = 75lbs lost and 30lbs gained] 4 years ago I decided to change my life and make lifting weights my life. Now living my best life. Right 2 pics are at 180lbs at the end of my current bulk.
image_29.jpg,M/22/6’2” [252lbs>196lbs =56lbs] finally starting to see some shape!
image_30.jpg,"F/28/5’3” [120lbs > 125lbs = 5lbs gained] (2 months) Been focusing more on glutes lately, hoping for more volume and have been eating more regularly. Next focus will most likely be arms."
image_31.jpg,"F/33/5'4 [280>170=110] (4 years)  been maintaining for 1 year, 25 more to go!"
